date,pred_class
1/7/20,0
2/7/20,1
3/7/20,1
4/7/20,1
5/7/20,1
6/7/20,1
7/7/20,1
8/7/20,0
9/7/20,1
10/7/20,1
11/7/20,0
12/7/20,1
13/7/20,0
14/7/20,1
15/7/20,0
16/7/20,1
17/7/20,1
18/7/20,0
19/7/20,1
20/7/20,0
21/7/20,1
22/7/20,0
23/7/20,1
24/7/20,1
25/7/20,0
26/7/20,1
27/7/20,0
28/7/20,1
29/7/20,0
30/7/20,1
31/7/20,1
1/8/20,0
2/8/20,1
3/8/20,0
4/8/20,0
5/8/20,0
6/8/20,1
7/8/20,1
8/8/20,0
9/8/20,0
10/8/20,0
11/8/20,0
12/8/20,0
13/8/20,1
14/8/20,0
15/8/20,0
16/8/20,0
17/8/20,0
18/8/20,0
19/8/20,0
20/8/20,1
21/8/20,1
22/8/20,0
23/8/20,1
24/8/20,0
25/8/20,0
26/8/20,0
27/8/20,1
28/8/20,1
29/8/20,0
30/8/20,1
31/8/20,0
1/9/20,1
2/9/20,0
3/9/20,1
4/9/20,1
5/9/20,0
6/9/20,1
7/9/20,0
8/9/20,1
9/9/20,0
10/9/20,1
11/9/20,1
12/9/20,0
13/9/20,0
14/9/20,0
15/9/20,0
16/9/20,0
17/9/20,1
18/9/20,0
19/9/20,0
20/9/20,0
21/9/20,0
22/9/20,0
23/9/20,0
24/9/20,0
25/9/20,0
26/9/20,0
27/9/20,0
28/9/20,0
29/9/20,0
30/9/20,0
1/10/20,0
2/10/20,0
3/10/20,0
4/10/20,0
5/10/20,0
6/10/20,0
7/10/20,0
8/10/20,1
9/10/20,1
10/10/20,0
11/10/20,1
12/10/20,1
13/10/20,1
14/10/20,0
15/10/20,1
16/10/20,1
17/10/20,1
18/10/20,1
19/10/20,1
20/10/20,1
21/10/20,1
22/10/20,1
23/10/20,1
24/10/20,1
25/10/20,1
26/10/20,1
27/10/20,1
28/10/20,0
29/10/20,1
30/10/20,1
31/10/20,0
1/11/20,1
2/11/20,0
3/11/20,0
4/11/20,0
5/11/20,1
6/11/20,0
7/11/20,0
8/11/20,0
9/11/20,0
10/11/20,0
11/11/20,0
12/11/20,0
13/11/20,0
14/11/20,0
15/11/20,0
16/11/20,0
17/11/20,0
18/11/20,0
19/11/20,0
20/11/20,0
21/11/20,0
22/11/20,0
23/11/20,0
24/11/20,0
25/11/20,0
26/11/20,0
27/11/20,0
28/11/20,0